Player,Year,Date,Home.Away,Opp,Opp Division,Rslt,Days.Rested,IP,ER,SO,BF,Pit,Str,aLI,RE24,Team.W.L,Num.W.L
Cal Quantrill,2022,Jul 11,Home,CHW,AL Central,W8-4,5,6,4,3,26,93,60,0.91,-2.55,W,1
Cal Quantrill,2022,Jul 16,Home,DET,AL Central,W10-0,4,6,0,5,23,100,62,0.5,2.79,W,1
Cal Quantrill,2022,Jul 22,Away,CHW,AL Central,W8-2,5,5,2,4,23,97,58,0.73,0.45,W,1
Cal Quantrill,2022,Jul 27,Away,BOS,AL East,W7-6,4,5.1,5,4,25,95,63,1.12,-3.19,W,1
Cal Quantrill,2022,Aug 1,Home,ARI,NL West,W6-5,4,6,4,4,25,94,56,1.24,-1.21,W,1
Cal Quantrill,2022,Aug 6,Home,HOU,AL West,W4-1,4,6,0,4,21,85,55,0.64,2.79,W,1
Cal Quantrill,2022,Aug 12,Away,TOR,AL East,W8-0,5,7,0,7,22,98,64,0.28,3.33,W,1
Cal Quantrill,2022,Aug 17,Home,DET,AL Central,W8-4,4,6,4,2,25,99,60,1.16,-1.21,W,1
Cal Quantrill,2022,Aug 24,Away,SDP,NL West,W7-0,6,7,0,6,27,99,63,0.54,3.23,W,1
Cal Quantrill,2022,Aug 30,Home,BAL,AL East,W5-1,5,6,1,4,22,92,59,0.97,1.79,W,1
Cal Quantrill,2022,Sep 4,Home,SEA,AL West,L3-6,4,3,2,3,14,55,37,0.95,-1.58,L,0
Cal Quantrill,2022,Sep 9,Away,MIN,AL Central,W7-6,4,5,1,7,24,96,61,0.84,0.33,W,1
Cal Quantrill,2022,Sep 14,Home,LAA,AL West,W5-3,4,7,3,6,27,93,59,0.89,0.26,W,1
Cal Quantrill,2022,Sep 19,Home,MIN,AL Central,W11-4,4,5.1,3,2,26,95,60,1.12,-1.74,W,1
Cal Quantrill,2022,Sep 24,Away,TEX,AL West,W4-2,4,6,1,4,26,83,50,1.17,1.88,W,1
Cal Quantrill,2022,Sep 29,Home,TBR,AL East,W2-1,4,6,1,4,22,86,59,0.81,1.78,W,1
Cal Quantrill,2022,Oct 4,Home,KCR,AL Central,W5-3,4,5,1,4,19,78,52,0.91,1.32,W,1
Aaron Civale,2022,Apr 11,Away,KCR,AL Central,W10-7,99,3.1,2,3,19,74,46,1.65,-1.98,W,1
Aaron Civale,2022,Apr 17,Home,SFG,NL West,L1-8,5,4,3,5,17,74,50,0.75,-2.14,L,0
Aaron Civale,2022,Apr 24,Away,NYY,AL East,L2-10,6,3,6,3,18,61,38,0.6,-4.56,L,0
Aaron Civale,2022,Apr 29,Away,OAK,AL West,W9-8,4,4,6,3,21,82,52,1,-4.18,W,1
Aaron Civale,2022,May 5,Home,TOR,AL East,W6-5,5,5.2,4,8,24,99,60,0.97,-1.52,W,1
Aaron Civale,2022,May 13,Away,MIN,AL Central,L8-12,7,4.2,6,5,22,94,55,0.96,-2.09,L,0
Aaron Civale,2022,May 20,Home,DET,AL Central,W6-1,6,6.1,0,3,23,94,67,0.9,2.11,W,1
Aaron Civale,2022,Jun 21,Away,MIN,AL Central,W6-5,31,5,2,7,21,80,56,1.08,0.33,W,1
Aaron Civale,2022,Jun 26,Home,BOS,AL East,L3-8,4,4,3,2,22,87,56,1.23,-1.15,L,0
Aaron Civale,2022,Jul 2(2),Home,NYY,AL East,L1-6,5,6,4,6,22,99,61,0.86,-0.18,L,0
Aaron Civale,2022,Jul 8,Away,KCR,AL Central,L3-4,5,7,1,6,26,91,61,1.26,2.43,L,0
Aaron Civale,2022,Jul 13,Home,CHW,AL Central,L1-2,4,1,0,1,5,20,14,1.02,0.46,L,0
Aaron Civale,2022,Aug 10,Away,DET,AL Central,W3-2,27,4,2,4,16,62,39,1.19,-0.16,W,1
Aaron Civale,2022,Aug 15(1),Home,DET,AL Central,W4-1,4,6,1,10,22,82,56,0.95,1.79,W,1
Aaron Civale,2022,Aug 23,Away,SDP,NL West,W3-1,7,4.2,1,4,21,95,50,1.25,1.1,W,1
Aaron Civale,2022,Aug 28,Away,SEA,AL West,L0-4,4,6.1,4,5,25,89,53,0.84,-1.32,L,0
Aaron Civale,2022,Sep 20,Away,CHW,AL Central,W10-7,22,5,2,2,20,69,40,1.15,1.46,W,1
Aaron Civale,2022,Sep 25,Away,TEX,AL West,W10-4,4,5,2,7,18,75,51,0.85,0.37,W,1
Aaron Civale,2022,Sep 30,Home,KCR,AL Central,W6-3,4,6,2,5,21,76,54,0.65,-0.22,W,1
Aaron Civale,2022,Oct 5,Home,KCR,AL Central,W9-2,4,6,2,9,24,84,58,0.54,0.78,W,1
Triston McKenizie,2022,Apr 13,Away,CIN,NL Central,W7-3,5,4,0,6,15,67,50,0.72,2.17,W,1
Triston McKenizie,2022,Apr 20(2),Home,CHW,AL Central,W2-1,6,4.1,1,4,18,80,40,1,0.68,W,1
Triston McKenizie,2022,Apr 26,Away,LAA,AL West,L1-4,5,5.2,4,6,24,90,68,0.58,-1.19,L,0
Triston McKenizie,2022,May 1,Away,OAK,AL West,W7-3,4,6.1,0,7,25,96,59,0.37,2.33,W,1
Triston McKenizie,2022,May 7(2),Home,TOR,AL East,W8-2,5,6,2,6,21,102,68,1.03,0.79,W,1
Triston McKenizie,2022,May 15,Away,MIN,AL Central,L1-3,7,7,3,4,26,95,64,0.6,0.26,L,0
Triston McKenizie,2022,May 23,Away,HOU,AL West,W6-1,7,7,1,3,24,95,62,0.72,2.36,W,1
Triston McKenizie,2022,May 29,Away,DET,AL Central,L1-2,5,7.2,2,8,28,90,61,0.64,1.27,L,0
Triston McKenizie,2022,Jun 4,Away,BAL,AL East,L4-5,5,7,5,4,27,86,54,0.79,-1.6,L,0
Triston McKenizie,2022,Jun 10,Home,OAK,AL West,W3-2,5,6,2,6,26,97,63,0.68,0.79,W,1
Triston McKenizie,2022,Jun 16,Away,COL,NL West,W4-2,5,6,1,6,26,93,63,1.17,2.37,W,1
Triston McKenizie,2022,Jun 22,Away,MIN,AL Central,W11-10,5,4.1,6,5,22,77,50,0.76,-3.92,W,1
Triston McKenizie,2022,Jun 27,Home,MIN,AL Central,L1-11,4,6,7,7,27,96,63,0.48,-4.21,L,0
Triston McKenizie,2022,Jul 3,Home,NYY,AL East,W2-0,5,7,0,7,24,92,56,1.18,3.26,W,1
Triston McKenizie,2022,Jul 9,Away,KCR,AL Central,W13-1,5,6,0,4,22,88,48,0.26,2.94,W,1
Triston McKenizie,2022,Jul 14,Home,DET,AL Central,W4-0,4,8,0,12,29,109,78,0.81,3.72,W,1
Triston McKenizie,2022,Jul 23(1),Away,CHW,AL Central,W7-4,8,5.2,1,4,23,94,62,0.99,1.51,W,1
Triston McKenizie,2022,Jul 28,Away,BOS,AL East,L2-4,4,7,4,6,27,91,61,1.01,-0.41,L,0
Triston McKenizie,2022,Aug 2,Home,ARI,NL West,L3-6,4,6,4,7,24,91,69,0.8,-2.21,L,0
Triston McKenizie,2022,Aug 7,Home,HOU,AL West,W1-0,4,8,0,8,26,91,66,1.12,3.72,W,1
Triston McKenizie,2022,Aug 13,Away,TOR,AL East,L1-2,5,6.2,2,3,25,101,69,0.99,1.02,L,0
Triston McKenizie,2022,Aug 19,Home,CHW,AL Central,W5-2,5,7,2,14,26,101,78,0.83,1.26,W,1
Triston McKenizie,2022,Aug 25,Away,SEA,AL West,L1-3,5,6,3,4,23,93,56,0.59,-0.29,L,0
Triston McKenizie,2022,Aug 31,Home,BAL,AL East,L0-4,5,5,2,7,21,97,64,1.13,0.33,L,0
Triston McKenizie,2022,Sep 5,Away,KCR,AL Central,W6-5,4,5.2,2,5,23,101,72,1.31,-0.29,W,1
Triston McKenizie,2022,Sep 10,Away,MIN,AL Central,W6-4,4,7,0,5,28,97,66,0.69,3.26,W,1
Triston McKenizie,2022,Sep 16,Home,MIN,AL Central,W4-3,5,7,3,8,28,89,69,0.67,0.26,W,1
Triston McKenizie,2022,Sep 21,Away,CHW,AL Central,W8-2,4,8,2,13,30,100,73,0.39,1.92,W,1
Triston McKenizie,2022,Sep 28,Home,TBR,AL East,W2-1,6,6,1,6,22,88,62,0.9,1.78,W,1
Triston McKenizie,2022,Oct 3,Home,KCR,AL Central,L2-5,4,5,1,4,19,73,52,1.12,1.32,L,0
Cal Quantrill,2021,May 31(2),Home,CHW,AL Central,W3-1,4,3.2,1,5,14,60,38,1.15,1,W,1
Cal Quantrill,2021,Jun 6,Away,BAL,AL East,L5-18,5,1.1,5,1,11,44,30,1.17,-5.37,L,0
Cal Quantrill,2021,Jun 15,Home,BAL,AL East,W7-2,5,4,1,4,16,60,41,0.95,1.11,W,1
Cal Quantrill,2021,Jun 19,Away,PIT,NL Central,L3-6,3,5,0,2,20,77,51,1.05,2.51,L,0
Cal Quantrill,2021,Jun 25,Away,MIN,AL Central,L7-8,5,4.1,6,2,20,63,42,1.02,-3.37,L,0
Cal Quantrill,2021,Jun 30(1),Home,DET,AL Central,L4-9,4,3.1,4,3,19,67,43,1.76,-2.33,L,0
Cal Quantrill,2021,Jul 4,Home,HOU,AL West,L3-4,3,5.1,3,3,24,94,56,1.2,-0.12,L,0
Cal Quantrill,2021,Jul 10,Home,KCR,AL Central,W14-6,5,6,3,1,23,90,59,0.68,0.16,W,1
Cal Quantrill,2021,Jul 17,Away,OAK,AL West,W3-2,6,5,1,5,22,85,48,1.3,1.48,W,1
Cal Quantrill,2021,Jul 22,Home,TBR,AL East,L4-5,4,6,1,2,24,94,50,1.13,2.16,L,0
Cal Quantrill,2021,Jul 27,Home,STL,NL Central,L2-4,4,6,1,5,23,90,58,1.28,2.16,L,0
Cal Quantrill,2021,Aug 1,Away,CHW,AL Central,L1-2,4,6,0,6,26,100,63,1.57,2.16,L,0
Cal Quantrill,2021,Aug 6,Home,DET,AL Central,W6-1,4,7,0,10,24,98,69,0.51,3.69,W,1
Cal Quantrill,2021,Aug 11,Home,OAK,AL West,L3-6,4,6,2,5,23,93,65,0.9,1.81,L,0
Cal Quantrill,2021,Aug 16,Away,MIN,AL Central,L4-5,4,5,3,4,24,92,51,1.23,-0.44,L,0
Cal Quantrill,2021,Aug 22,Home,LAA,AL West,W3-0,5,7,0,9,24,94,62,0.92,3.69,W,1
Cal Quantrill,2021,Aug 28,Home,BOS,AL East,L3-5,5,7,1,6,28,96,62,1.23,1.69,L,0
Cal Quantrill,2021,Sep 3,Away,BOS,AL East,L5-8,5,6,5,6,27,99,63,0.79,-1.09,L,0
Cal Quantrill,2021,Sep 9,Home,MIN,AL Central,W4-1,5,7.2,1,5,27,109,72,0.9,2.98,W,1
Cal Quantrill,2021,Sep 15,Away,MIN,AL Central,W12-3,5,6.2,0,4,25,100,59,0.47,0.34,W,1
Cal Quantrill,2021,Sep 21,Home,KCR,AL Central,W4-1,5,6.2,1,6,27,102,61,0.68,2.45,W,1
Cal Quantrill,2021,Sep 27,Home,KCR,AL Central,W8-3,5,6,3,5,24,94,57,1.09,0.16,W,1
Eli Morgan,2021,May 28,Home,TOR,AL East,L2-11,99,2.2,6,1,17,65,35,1.19,-4.66,L,0
Eli Morgan,2021,Jun 17,Home,BAL,AL East,W10-3,19,3.2,3,5,18,67,48,0.92,-0.23,W,1
Eli Morgan,2021,Jun 22,Away,CHC,NL Central,L1-7,4,5,4,9,19,71,52,0.73,-1.07,L,0
Eli Morgan,2021,Jun 28,Home,DET,AL Central,W13-5,5,5,4,4,21,69,48,0.5,-1.37,W,1
Eli Morgan,2021,Jul 3,Home,HOU,AL West,L2-3,4,5,3,3,21,86,52,0.88,-0.37,L,0
Eli Morgan,2021,Jul 16,Away,OAK,AL West,L4-5,12,5,3,6,23,84,56,0.7,-0.52,L,0
Eli Morgan,2021,Jul 21,Away,HOU,AL West,W5-4,4,5,3,5,18,77,52,0.8,0.01,W,1
Eli Morgan,2021,Aug 2,Away,TOR,AL East,W5-2,11,6,2,9,24,92,62,0.97,1.19,W,1
Eli Morgan,2021,Aug 7,Home,DET,AL Central,L1-2,4,7,2,3,28,88,63,0.97,1.69,L,0
Eli Morgan,2021,Aug 12,Home,OAK,AL West,L0-17,4,4,5,1,21,72,45,0.97,-2.89,L,0
Eli Morgan,2021,Aug 17,Away,MIN,AL Central,W3-1,4,6,0,8,22,90,64,1.13,3.07,W,1
Eli Morgan,2021,Aug 24,Home,TEX,AL West,L3-7,6,4.1,4,4,22,76,51,0.69,-1.8,L,0
Eli Morgan,2021,Aug 29,Home,BOS,AL East,W7-5,4,3,2,3,11,45,26,0.63,-0.42,W,1
Eli Morgan,2021,Sep 4,Away,BOS,AL East,L3-4,5,5.2,0,7,23,96,53,1.29,3.06,L,0
Eli Morgan,2021,Sep 10,Home,MIL,NL Central,L3-10,5,4.1,7,2,25,81,54,1.12,-3.97,L,0
Eli Morgan,2021,Sep 19,Away,NYY,AL East,W11-1,8,6,1,3,22,85,62,0.72,2.13,W,1
Eli Morgan,2021,Sep 25,Home,CHW,AL Central,W6-0,5,6,0,6,21,85,61,0.98,3.16,W,1
Eli Morgan,2021,Oct 1,Away,TEX,AL West,W9-6,5,5.2,4,2,23,85,55,0.72,-1.01,W,1
Triston McKenzie,2021,Apr 12,Away,CHW,AL Central,L3-4,6,4,3,6,15,76,45,0.95,-0.89,L,0
Triston McKenzie,2021,Apr 17,Away,CIN,NL Central,L2-3,4,5,1,7,23,87,45,1.31,1.89,L,0
Triston McKenzie,2021,Apr 25,Home,NYY,AL East,W7-3,7,4,3,5,20,87,46,0.96,-0.89,W,1
Triston McKenzie,2021,May 1,Away,CHW,AL Central,L3-7,5,2,5,6,11,57,31,1.24,-3.95,L,0
Triston McKenzie,2021,May 6,Away,KCR,AL Central,W4-0,4,5,0,5,21,92,56,1.36,1.72,W,1
Triston McKenzie,2021,May 15,Away,SEA,AL West,L3-7,8,4.1,5,6,21,90,56,0.7,-2.43,L,0
Triston McKenzie,2021,May 21,Home,MIN,AL Central,L0-10,5,3.1,6,4,17,72,37,0.91,-2.5,L,0
Triston McKenzie,2021,May 26,Away,DET,AL Central,L0-1,4,5,0,5,18,73,44,1.03,2.5,L,0
Triston McKenzie,2021,May 31(1),Home,CHW,AL Central,L6-8,4,5.1,5,10,21,86,54,1.16,-1.39,L,0
Triston McKenzie,2021,Jun 12,Home,SEA,AL West,W5-4,11,0.2,1,0,6,32,12,1.73,-1.26,W,1
Triston McKenzie,2021,Jul 9,Home,KCR,AL Central,W2-1,26,7,0,9,23,85,57,1.08,3.69,W,1
Triston McKenzie,2021,Jul 20,Away,HOU,AL West,L3-9,10,4,5,3,22,93,63,0.92,-2.52,L,0
Triston McKenzie,2021,Jul 25,Home,TBR,AL East,W3-2,4,6,2,6,24,87,63,1.11,1.16,W,1
Triston McKenzie,2021,Jul 31,Away,CHW,AL Central,W12-11,5,4,6,2,19,83,47,0.83,-3.89,W,1
Triston McKenzie,2021,Aug 5,Away,TOR,AL East,L0-3,4,7,3,4,26,90,66,0.6,0.72,L,0
Triston McKenzie,2021,Aug 10,Home,OAK,AL West,L3-4,4,6,2,5,23,86,59,0.91,1.16,L,0
Triston McKenzie,2021,Aug 15,Away,DET,AL Central,W11-0,4,8,0,11,25,106,73,0.12,4,W,1
Triston McKenzie,2021,Aug 21,Home,LAA,AL West,W5-1,5,7,1,8,24,95,68,0.75,3.3,W,1
Triston McKenzie,2021,Sep 2,Away,KCR,AL Central,W4-2,11,6,1,6,22,76,57,0.86,2.28,W,1
Triston McKenzie,2021,Sep 8,Home,MIN,AL Central,L0-3,5,6,1,7,21,83,53,0.97,2.16,L,0
Triston McKenzie,2021,Sep 14(1),Away,MIN,AL Central,W3-1,5,6,1,7,21,72,55,1.25,2.07,W,1
Triston McKenzie,2021,Sep 20(1),Home,KCR,AL Central,L2-7,5,4.1,7,4,22,74,50,0.89,-4.65,L,0
Triston McKenzie,2021,Sep 26,Home,CHW,AL Central,L2-5,5,2.1,3,3,16,61,37,1.26,-3.02,L,0
Triston McKenzie,2021,Oct 2,Away,TEX,AL West,L2-7,5,4,4,2,18,74,40,0.94,-1.94,L,0
Zach Plesac,2021,Apr 3,Away,DET,AL Central,L2-5,99,6,2,4,26,94,58,0.85,1,L,0
Zach Plesac,2021,Apr 9,Home,DET,AL Central,W4-1,5,7,0,6,23,97,70,0.7,3.69,W,1
Zach Plesac,2021,Apr 14,Away,CHW,AL Central,L0-8,4,0.2,6,0,9,26,17,0.95,-5.71,L,0
Zach Plesac,2021,Apr 20,Home,CHW,AL Central,L5-8,5,5,6,4,22,92,62,0.91,-2.76,L,0
Zach Plesac,2021,Apr 26,Home,MIN,AL Central,W5-3,5,7.2,3,4,29,93,64,1.01,0.76,W,1
Zach Plesac,2021,May 2,Away,CHW,AL Central,W5-0,5,5.2,0,6,25,110,68,1.23,2.92,W,1
Zach Plesac,2021,May 7,Home,CIN,NL Central,L0-3,4,8,0,7,27,112,80,1.13,4.22,L,0
Zach Plesac,2021,May 13,Away,SEA,AL West,W4-2,5,8,2,2,28,96,66,0.66,1.96,W,1
Zach Plesac,2021,May 18,Away,LAA,AL West,W6-5,4,7,5,4,28,98,71,1.15,-1.28,W,1
Zach Plesac,2021,May 23,Home,MIN,AL Central,L5-8,4,3.2,3,1,18,63,40,1.18,-3.51,L,0
Zach Plesac,2021,Jul 8,Home,KCR,AL Central,W7-4,45,4,3,4,17,55,38,0.74,-0.89,W,1
Zach Plesac,2021,Jul 18,Away,OAK,AL West,W4-2,9,6,2,3,23,87,56,0.99,0.97,W,1
Zach Plesac,2021,Jul 23,Home,TBR,AL East,L5-10,4,6.2,4,3,29,99,64,0.79,-0.65,L,0
Zach Plesac,2021,Jul 28,Home,STL,NL Central,W7-2,4,5,2,4,24,89,57,1.05,0.64,W,1
Zach Plesac,2021,Aug 3,Away,TOR,AL East,L2-7,5,5,6,0,24,82,55,0.61,-3.34,L,0
Zach Plesac,2021,Aug 8,Home,DET,AL Central,W7-5,4,4,4,6,19,84,48,1.02,-2.89,W,1
Zach Plesac,2021,Aug 13,Away,DET,AL Central,W7-4,4,7.2,2,9,28,101,74,0.7,1.9,W,1
Zach Plesac,2021,Aug 18,Away,MIN,AL Central,L7-8,4,4.2,5,2,24,73,44,1.15,-2.77,L,0
Zach Plesac,2021,Aug 25,Home,TEX,AL West,W7-2,6,5.2,2,4,27,97,57,1.31,0.83,W,1
Zach Plesac,2021,Aug 31,Away,KCR,AL Central,W7-2,5,7,0,7,22,96,59,0.84,3.83,W,1
Zach Plesac,2021,Sep 5,Away,BOS,AL East,W11-5,4,5,3,5,27,101,68,1.17,-0.16,W,1
Zach Plesac,2021,Sep 11,Home,MIL,NL Central,L0-3,5,6,2,3,24,84,52,0.63,0.16,L,0
Zach Plesac,2021,Sep 17,Away,NYY,AL East,L0-8,5,6,5,6,25,93,68,0.71,-0.88,L,0
Zach Plesac,2021,Sep 23(2),Home,CHW,AL Central,W5-3,5,5.1,2,4,22,86,59,1.34,1.56,W,1
Zach Plesac,2021,Sep 29,Away,KCR,AL Central,L5-10,5,6,5,2,28,97,61,1,-1.72,L,0
Aaron Civale,2021,Apr 4,Away,DET,AL Central,W9-3,99,7,3,6,24,91,57,0.62,0.5,W,1
Aaron Civale,2021,Apr 10,Home,DET,AL Central,W11-3,5,7.2,1,6,24,90,56,0.43,3.11,W,1
Aaron Civale,2021,Apr 15,Away,CHW,AL Central,W4-2,4,6,1,4,25,99,59,0.96,2.16,W,1
Aaron Civale,2021,Apr 22,Home,NYY,AL East,L3-6,6,5.1,2,6,24,93,53,1.12,-0.39,L,0
Aaron Civale,2021,Apr 27,Home,MIN,AL Central,W7-4,4,7.2,4,4,30,99,68,1.01,0.11,W,1
Aaron Civale,2021,May 3,Away,KCR,AL Central,W8-6,5,5.2,3,2,27,100,61,1.25,-0.18,W,1
