home_team,season,stadium,stadium_age,temp_stadium,home_conference,home_Level_Division,Capacity,Reigning_Conference_Champ,Recruiting_Strength,Home_Games,Ranked_Opp,Nationally_Televised_Home_Games,AVG_Attend,AVG_CapFill,ConfNetwork,Season_Win_Total,Power5_School
Washington State,2013,Martin Stadium,42,0,Pac-12,1-A,32760,0,168.24,5,1,1,27666.4,0.844517705,1,6,1
Washington State,2014,Martin Stadium,43,0,Pac-12,1-A,32952,0,168.05,6,1,2,30793.66667,0.934500688,1,3,1
Washington State,2015,Martin Stadium,44,0,Pac-12,1-A,32952,0,179.075,6,1,3,29407.33333,0.892429392,1,9,1
Washington State,2016,Martin Stadium,45,0,Pac-12,1-A,32952,0,178.1675,7,1,3,31592.28571,0.958736517,1,8,1
Washington State,2017,Martin Stadium,46,0,Pac-12,1-A,32952,0,180.305,7,2,5,31982.14286,0.970567579,1,9,1
Washington State,2018,Martin Stadium,47,0,Pac-12,1-A,32952,0,184.86,7,2,4,30091,0.913176742,1,11,1
Washington State,2019,Martin Stadium,48,0,Pac-12,1-A,32952,0,181.2925,6,0,1,28541.16667,0.866143684,1,6,1
West Virginia,2011,Mountaineer Field at Milan Puskar Stadium,32,0,American,1-A,60000,0,191.76,7,0,3,56532.28571,0.942204762,0,10,0
West Virginia,2012,Mountaineer Field at Milan Puskar Stadium,33,0,Big 12,1-A,60000,0,200.9825,7,3,7,55915.57143,0.93192619,0,7,1
West Virginia,2013,Mountaineer Field at Milan Puskar Stadium,34,0,Big 12,1-A,60000,0,194.9325,6,2,5,52909.83333,0.881830556,0,4,1
West Virginia,2014,Mountaineer Field at Milan Puskar Stadium,35,0,Big 12,1-A,60000,0,190.7225,6,3,5,56686.16667,0.944769444,0,7,1
West Virginia,2015,Mountaineer Field at Milan Puskar Stadium,36,0,Big 12,1-A,60000,0,200.15,7,1,5,54825.57143,0.913759524,0,8,1
West Virginia,2016,Mountaineer Field at Milan Puskar Stadium,37,0,Big 12,1-A,60000,0,197.0875,7,1,5,57583.42857,0.95972381,0,10,1
West Virginia,2017,Mountaineer Field at Milan Puskar Stadium,38,0,Big 12,1-A,60000,0,190.5,6,3,3,55946.33333,0.932438889,0,7,1
West Virginia,2018,Mountaineer Field at Milan Puskar Stadium,39,0,Big 12,1-A,60000,0,193.8675,6,1,5,58157.83333,0.969297222,0,8,1
West Virginia,2019,Mountaineer Field at Milan Puskar Stadium,40,0,Big 12,1-A,60000,0,192.32,6,2,5,55907.16667,0.931786111,0,5,1
Western Kentucky,2011,L.T. Smith Stadium,44,0,Sun Belt,1-A,22113,0,53.03,6,0,0,15310.33333,0.692367989,0,7,0
Western Kentucky,2012,L.T. Smith Stadium,45,0,Sun Belt,1-A,22113,0,81.015,6,0,0,17414.66667,0.787530713,0,7,0
Western Kentucky,2013,L.T. Smith Stadium,46,0,Sun Belt,1-A,22113,0,111.075,5,0,1,18334.4,0.82912314,0,8,0
Western Kentucky,2014,L.T. Smith Stadium,47,0,Conference USA,1-A,22113,0,109.7775,6,0,1,16305.5,0.737371682,0,8,0
Western Kentucky,2015,L.T. Smith Stadium,48,0,Conference USA,1-A,22113,0,117.2375,6,0,5,17959.83333,0.812184386,0,12,0
Western Kentucky,2016,L.T. Smith Stadium,49,0,Conference USA,1-A,22113,1,120.2775,7,0,1,17705,0.800660245,0,11,0
Western Kentucky,2017,L.T. Smith Stadium,50,0,Conference USA,1-A,22113,1,124.725,6,0,0,15705.66667,0.710245858,0,6,0
Western Kentucky,2018,L.T. Smith Stadium,51,0,Conference USA,1-A,22113,0,133.1375,5,0,0,14231.4,0.643576177,0,3,0
Western Kentucky,2019,L.T. Smith Stadium,52,0,Conference USA,1-A,22113,0,142.6975,6,0,0,15191.33333,0.686986539,0,9,0
Wisconsin,2011,Camp Randall Stadium,95,0,Big 10,1-A,80321,0,190.165,7,2,6,79813.14286,0.993677156,1,11,1
Wisconsin,2012,Camp Randall Stadium,96,0,Big 10,1-A,80321,1,182.195,7,1,4,80005.57143,0.9960729,1,8,1
Wisconsin,2013,Camp Randall Stadium,97,0,Big 10,1-A,80321,1,180.06,7,1,5,78911.14286,0.982447216,1,9,1
Wisconsin,2014,Camp Randall Stadium,98,0,Big 10,1-A,80321,0,182.8375,7,2,3,79520.28571,0.990031072,1,11,1
Wisconsin,2015,Camp Randall Stadium,99,0,Big 10,1-A,80321,0,186.78,7,1,1,78014.14286,0.971279527,1,10,1
Wisconsin,2016,Camp Randall Stadium,100,0,Big 10,1-A,80321,0,197.305,6,1,3,79357.33333,0.988002307,1,11,1
Wisconsin,2017,Camp Randall Stadium,101,0,Big 10,1-A,80321,0,198.0025,7,2,5,78823.71429,0.981358727,1,13,1
Wisconsin,2018,Camp Randall Stadium,102,0,Big 10,1-A,80321,0,195.4025,7,0,4,77153.14286,0.960560039,1,8,1
Wisconsin,2019,Camp Randall Stadium,103,0,Big 10,1-A,80321,0,202.8175,7,2,4,76471.57143,0.952074444,1,10,1
Wyoming,2011,War Memorial Stadium (WY),62,0,Mountain West,1-A,29181,0,108.52,6,1,1,22162.33333,0.759478199,0,8,0
Wyoming,2012,War Memorial Stadium (WY),63,0,Mountain West,1-A,29181,0,103.9275,6,1,0,19554.5,0.670110688,0,4,0
Wyoming,2013,War Memorial Stadium (WY),64,0,Mountain West,1-A,29181,0,98.195,6,1,1,19475.66667,0.667409159,0,5,0
Wyoming,2014,War Memorial Stadium (WY),65,0,Mountain West,1-A,29181,0,83.6775,6,0,2,19598.83333,0.671629942,0,4,0
Wyoming,2015,War Memorial Stadium (WY),66,0,Mountain West,1-A,29181,0,97.3025,6,0,0,18060.16667,0.618901568,0,2,0
Wyoming,2016,War Memorial Stadium (WY),67,0,Mountain West,1-A,29181,0,101.6125,7,2,2,21265.71429,0.728752074,0,8,0
Wyoming,2017,War Memorial Stadium (WY),68,0,Mountain West,1-A,29181,0,106.7225,7,0,1,20614.14286,0.706423456,0,8,0
Wyoming,2018,War Memorial Stadium (WY),69,0,Mountain West,1-A,29181,0,113.79,6,0,0,18879.5,0.646979199,0,6,0
Wyoming,2019,War Memorial Stadium (WY),70,0,Mountain West,1-A,29181,0,120.3975,6,0,1,23007,0.788423975,0,8,0
