NAME,AGE,YEAR,EARNINGS,CUP,EVNTS,RNDS,CUTS,TOP10,WINS,SCORE,DDIS,DACC,GIR,PUTTS,SAND,BIRDS
Bud Cauley,34,2020,"$1,042,100 ",443,20,61,13,2,0,70.2,290.5,59,65.6,1.761,67,3.344
Troy Merritt,38,2020,"$1,037,971 ",489,22,68,14,2,0,70.5,291.8,64.5,66.5,1.758,48,3.765
Nate Lashley,41,2020,"$1,035,222 ",395,20,52,9,2,0,70.7,287,62.1,64.9,1.769,47,3.385
Ian Poulter,48,2020,"$1,034,334 ",437,13,48,12,1,0,69.9,286.8,59.6,62.6,1.708,54,3.708
Tommy Fleetwood,33,2020,"$1,025,676 ",412,11,40,9,1,0,69.9,309.6,61.3,67.2,1.787,56.9,3.875
Patrick Rodgers,31,2020,"$1,015,849 ",440,27,91,20,1,0,70.3,308.5,52.9,67,1.747,49.2,3.769
Pat Perez,48,2020,"$1,010,905 ",421,18,55,12,2,0,70.1,290.3,62.7,70.5,1.769,57.8,3.618
Brian Stuard,41,2020,"$1,002,095 ",438,25,81,16,2,0,70.1,281.5,71.8,65.1,1.742,50,3.679
Matt Jones,43,2020,"$996,369 ",398,23,76,16,2,0,70.3,297.3,59.2,66.2,1.764,58.3,3.763
Justin Rose,43,2020,"$965,656 ",413,13,38,6,2,0,70.3,299.6,60.3,63.2,1.736,61.3,4
Scott Brown,40,2020,"$963,412 ",323,22,64,9,1,0,71,288.5,67.4,64.5,1.786,44.1,3.406
Ryan Moore,41,2020,"$957,540 ",360,16,44,9,2,0,70.2,289.9,68.6,68.6,1.742,47.9,3.886
Scott Harrington,43,2020,"$951,211 ",381,22,68,11,1,0,71.2,307.1,58.4,64.5,1.79,57.7,3.588
Rickie Fowler,35,2020,"$947,309 ",402,14,44,8,2,0,70.1,294.9,64.8,66.5,1.738,47.9,3.932
Charley Hoffman,47,2020,"$932,875 ",476,20,59,11,2,0,70.3,296.5,56.8,68.4,1.726,53.4,4.22
Cameron Tringale,36,2020,"$911,172 ",450,18,63,14,1,0,69.9,301.9,54,69.7,1.776,50,3.889
Brandt Snedeker,43,2020,"$896,750 ",358,16,53,10,1,0,69.9,288.5,61.9,65.9,1.75,55.6,3.792
Tom Lewis,33,2020,"$895,241 ",281,12,34,5,1,0,70,0,0,0,0,0,0
Keith Mitchell,32,2020,"$886,979 ",342,21,64,11,1,0,71.2,301.9,58.3,65,1.774,48,3.781
Cam Davis,29,2020,"$857,225 ",443,20,58,11,2,0,69.9,308,58.8,69.3,1.779,57,4.138
Ryan Armour,48,2020,"$850,571 ",366,21,58,8,3,0,70.1,284.1,73.9,67.9,1.756,39,3.914
Emiliano Grillo,31,2020,"$849,538 ",405,23,65,12,3,0,70.3,295.7,66.1,71.5,1.803,46.7,3.769
Keegan Bradley,37,2020,"$824,471 ",379,0,68,14,0,0,70.6,301,59.7,66.4,1.793,51.3,3.471
Wyndham Clark,30,2020,"$814,737 ",346,23,61,10,1,0,70.9,305.1,52.2,62.6,1.739,53.4,3.803
Scott Piercy,45,2020,"$809,871 ",361,19,66,14,1,0,70.8,297.2,62.7,64.7,1.77,36.2,3.409
Matt Wallace,33,2020,"$800,993 ",244,13,44,9,1,0,71.1,301.7,53.1,63.6,1.76,59.3,3.659
Matt NeSmith,30,2020,"$783,232 ",372,23,68,13,1,0,69.9,295,64.1,70.2,1.765,49.5,3.721
K.H. Lee,32,2020,"$781,808 ",382,25,72,13,1,0,70.7,296.4,65,65.2,1.766,53.3,3.736
Shane Lowry,36,2020,"$781,326 ",283,13,44,9,1,0,69.9,299.4,60.9,69.4,1.796,61.5,3.659
Zach Johnson,48,2020,"$777,727 ",358,18,61,12,1,0,70,285.9,62.8,68,1.751,50.6,3.77
Sam Burns,27,2020,"$757,500 ",345,19,58,11,1,0,70.2,312,54.8,67,1.755,32.1,3.897
Graeme McDowell,44,2020,"$751,082 ",305,16,48,9,1,0,71.6,283.9,62,63.3,1.768,36.5,3.417
Zac Blair,33,2020,"$745,273 ",324,23,66,12,1,0,71.2,280.9,62.6,63.5,1.768,50.8,3.636
Luke List,39,2020,"$731,507 ",297,22,69,12,1,0,70.4,307.8,57.5,69.5,1.803,53.8,3.652
Lucas Glover,44,2020,"$728,355 ",303,21,67,12,1,0,70.5,301.6,64.6,68.7,1.78,49.2,3.925
Brian Gay,52,2020,"$702,647 ",323,23,63,10,2,0,70.8,288.5,58.7,64.8,1.722,38.5,3.889
Sam Ryder,34,2020,"$690,246 ",349,25,70,12,2,0,70.3,297.7,61.2,66.3,1.77,42.4,3.929
Adam Schenk,32,2020,"$678,928 ",349,0,74,15,0,0,69.8,302,62.3,69.1,1.778,49.1,3.824
Charl Schwartzel,39,2020,"$677,980 ",266,12,34,5,2,0,70.4,0,0,0,0,0,0
Scott Stallings,38,2020,"$664,849 ",296,20,67,15,2,0,69.7,297.6,57.3,69.7,1.743,48.3,3.881
Sergio Garcia,44,2020,"$658,935 ",241,12,44,10,1,0,70.1,305.8,60.6,68.3,1.793,55.1,3.841
